Transaction_ID,Farmer_ID,Buyer_ID,Commodity,Variety,Grade,Quantity,Farmer_District,Buyer_District,Distance_KM,Market_Price,Offered_Price,Final_Price,Transaction_Date,Payment_Status,Transaction_Status,Is_Synthetic,Is_Anomaly,Anomaly_Type
TX-000042,FARMER-832,BUYER-100,Potato,Kufri,Grade B,3950.0,Gondal,Nashik,217.1,21.19,21.83,21.43,2025-11-04,COMPLETED,COMPLETED,True,False,NORMAL
TX-000043,FARMER-777,BUYER-144,Potato,Kufri,Grade B,570.0,Pune,Indore,53.2,21.64,22.54,22.48,2025-07-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000044,FARMER-766,BUYER-119,Soyabean,Yellow,Grade B,3397.0,Nashik,Lasalgaon,58.5,47.22,47.58,47.71,2025-02-14,COMPLETED,COMPLETED,True,False,NORMAL
TX-000045,FARMER-444,BUYER-57,Soyabean,Yellow,Grade A,1270.0,Nashik,Lasalgaon,52.8,48.48,28.46,28.46,2025-11-02,PENDING,REJECTED,True,True,EXTREME_LOW_OFFER
TX-000046,FARMER-187,BUYER-111,Mustard,Yellow,Grade B,1069.0,Indore,Indore,17.5,56.64,56.02,55.59,2025-01-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000047,FARMER-584,BUYER-191,Cotton,Medium Staple,Grade C,2426.0,Lasalgaon,Indore,89.6,65.41,67.39,68.04,2025-05-09,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000048,FARMER-806,BUYER-97,Wheat,Lokwan,Grade B,2791.0,Agra,Ujjain,161.3,24.0,23.73,23.54,2025-02-21,COMPLETED,COMPLETED,True,False,NORMAL
TX-000049,FARMER-229,BUYER-120,Tomato,Local,Grade B,2183.0,Ahmedabad,Indore,52.6,27.75,28.02,27.67,2025-01-07,COMPLETED,COMPLETED,True,False,NORMAL
TX-000050,FARMER-982,BUYER-172,Potato,Jyoti,Grade B,907.0,Rajkot,Ahmedabad,211.5,20.81,20.13,20.18,2025-10-16,COMPLETED,COMPLETED,True,False,NORMAL
TX-000051,FARMER-710,BUYER-208,Wheat,Kalyan,Grade A,7341.0,Nashik,Agra,247.8,26.78,25.8,25.39,2025-06-06,COMPLETED,COMPLETED,True,False,NORMAL
TX-000052,FARMER-740,BUYER-104,Rice,Common,Grade A,2059.0,Ujjain,Gondal,64.4,39.11,39.9,39.47,2025-07-29,COMPLETED,COMPLETED,True,False,NORMAL
TX-000053,FARMER-819,BUYER-166,Potato,Kufri,Grade A,1955.0,Agra,Surat,123.5,24.54,23.98,23.64,2025-10-06,COMPLETED,COMPLETED,True,False,NORMAL
TX-000054,FARMER-911,BUYER-128,Rice,Sona Masoori,Grade A,4976.0,Pune,Nashik,210.0,39.17,39.68,40.05,2025-09-10,COMPLETED,COMPLETED,True,False,NORMAL
TX-000055,FARMER-126,BUYER-73,Wheat,Kalyan,Grade B,4941.0,Rajkot,Nashik,156.8,24.23,24.34,24.75,2026-01-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000056,FARMER-699,BUYER-161,Soyabean,JS-335,Grade B,2074.0,Lasalgaon,Gondal,218.7,46.49,46.65,46.46,2025-06-18,COMPLETED,COMPLETED,True,False,NORMAL
TX-000057,FARMER-137,BUYER-166,Potato,Lauvkar,Grade A,1138.0,Pune,Ujjain,211.5,23.31,23.5,23.21,2025-01-01,COMPLETED,COMPLETED,True,False,NORMAL
TX-000058,FARMER-874,BUYER-177,Soyabean,JS-335,Grade A,2652.0,Nashik,Indore,223.8,51.94,54.32,53.75,2025-09-06,COMPLETED,COMPLETED,True,False,NORMAL
TX-000059,FARMER-664,BUYER-53,Mustard,Black,Grade A,2992.0,Gondal,Indore,238.4,56.0,56.15,56.17,2025-11-28,COMPLETED,COMPLETED,True,False,NORMAL
TX-000060,FARMER-954,BUYER-173,Soyabean,JS-335,Grade B,993.0,Surat,Agra,141.8,43.99,43.45,43.3,2025-03-11,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000061,FARMER-619,BUYER-118,Tomato,Hybrid,Grade B,2561.0,Agra,Indore,220.4,27.87,27.59,27.64,2025-08-17,COMPLETED,COMPLETED,True,False,NORMAL
TX-000062,FARMER-429,BUYER-98,Wheat,Kalyan,Grade A,6963.0,Pune,Rajkot,100.0,26.34,27.34,27.52,2025-08-31,COMPLETED,COMPLETED,True,False,NORMAL
TX-000063,FARMER-255,BUYER-176,Tomato,Local,Grade B,1893.0,Gondal,Indore,51.9,29.63,29.05,29.6,2025-08-22,COMPLETED,COMPLETED,True,False,NORMAL
TX-000064,FARMER-900,BUYER-117,Cotton,Long Staple,Grade B,2774.0,Lasalgaon,Ujjain,113.6,70.9,74.01,74.13,2025-06-12,COMPLETED,COMPLETED,True,False,NORMAL
TX-000065,FARMER-340,BUYER-211,Rice,Basmati,Grade B,3321.0,Gondal,Gondal,127.6,36.87,35.63,35.0,2025-12-22,COMPLETED,COMPLETED,True,False,NORMAL
TX-000066,FARMER-541,BUYER-87,Wheat,Kalyan,Grade B,5709.0,Ahmedabad,Ahmedabad,14.8,23.89,24.49,24.89,2025-11-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000067,FARMER-572,BUYER-213,Rice,Sona Masoori,Grade A,561.0,Indore,Nashik,179.1,40.87,42.73,42.39,2025-03-22,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000068,FARMER-806,BUYER-114,Soyabean,Yellow,Grade A,1977.0,Indore,Gondal,82.2,50.52,50.14,49.18,2025-10-20,COMPLETED,COMPLETED,True,False,NORMAL
TX-000069,FARMER-505,BUYER-120,Tomato,Desi,Grade C,2401.0,Rajkot,Agra,193.9,23.82,23.37,23.11,2025-05-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000070,FARMER-356,BUYER-223,Onion,Garhwa,Grade A,3286.0,Rajkot,Nashik,203.5,32.09,32.9,32.63,2025-01-18,COMPLETED,COMPLETED,True,False,NORMAL
TX-000071,FARMER-279,BUYER-101,Onion,Garhwa,Grade C,2083.0,Ujjain,Nashik,212.7,25.09,26.19,25.98,2025-05-12,COMPLETED,COMPLETED,True,False,NORMAL
TX-000072,FARMER-923,BUYER-79,Soyabean,JS-335,Grade A,4363.0,Pune,Ujjain,110.5,52.58,53.25,53.62,2025-07-22,COMPLETED,COMPLETED,True,False,NORMAL
TX-000073,FARMER-698,BUYER-147,Cotton,BT Cotton,Grade B,2150.0,Agra,Ujjain,102.2,74.41,72.23,73.41,2025-11-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000074,FARMER-518,BUYER-79,Onion,Red,Grade C,1800.0,Indore,Gondal,51.4,27.55,27.78,28.05,2025-10-03,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000075,FARMER-529,BUYER-200,Onion,White,Grade B,4235.0,Agra,Pune,236.6,31.68,31.41,31.98,2025-05-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000076,FARMER-201,BUYER-225,Cotton,Long Staple,Grade C,2757.0,Rajkot,Pune,90.7,59.95,62.31,61.59,2025-03-04,COMPLETED,COMPLETED,True,False,NORMAL
TX-000077,FARMER-121,BUYER-62,Cotton,BT Cotton,Grade C,3254.0,Surat,Gondal,212.6,65.59,64.21,63.77,2025-10-11,COMPLETED,COMPLETED,True,False,NORMAL
TX-000078,FARMER-710,BUYER-50,Rice,Basmati,Grade C,4011.0,Ahmedabad,Gondal,175.4,33.08,32.86,32.98,2025-01-14,COMPLETED,COMPLETED,True,False,NORMAL
TX-000079,FARMER-371,BUYER-63,Onion,Garhwa,Grade B,923.0,Gondal,Indore,128.6,29.95,29.16,29.68,2025-07-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000080,FARMER-902,BUYER-218,Rice,Sona Masoori,Grade B,702.0,Indore,Pune,123.8,36.04,37.67,37.04,2025-02-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000081,FARMER-167,BUYER-82,Rice,Common,Grade B,4064.0,Lasalgaon,Pune,248.8,36.89,37.0,37.43,2025-09-29,COMPLETED,COMPLETED,True,False,NORMAL
TX-000082,FARMER-770,BUYER-216,Wheat,Sharbati,Grade B,2445.0,Lasalgaon,Indore,117.7,26.21,26.27,26.14,2026-01-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000083,FARMER-585,BUYER-67,Potato,Jyoti,Grade A,1031.0,Lasalgaon,Ahmedabad,152.4,22.46,22.75,22.67,2025-10-28,COMPLETED,COMPLETED,True,False,NORMAL
TX-000084,FARMER-868,BUYER-158,Tomato,Hybrid,Grade B,1249.0,Agra,Ujjain,76.8,28.06,29.25,29.32,2025-12-03,COMPLETED,COMPLETED,True,False,NORMAL
TX-000085,FARMER-385,BUYER-196,Wheat,Sharbati,Grade B,7817.0,Agra,Agra,21.7,26.42,27.81,27.55,2025-10-13,COMPLETED,COMPLETED,True,False,NORMAL
TX-000086,FARMER-819,BUYER-245,Rice,Sona Masoori,Grade A,1679.0,Ahmedabad,Agra,174.6,40.55,74.44,74.44,2025-02-05,DEFAULTED,DISPUTED,True,True,EXTREME_HIGH_OFFER
TX-000087,FARMER-485,BUYER-157,Soyabean,Yellow,Grade A,1678.0,Lasalgaon,Agra,161.2,51.73,53.26,52.37,2025-01-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000088,FARMER-534,BUYER-174,Soyabean,Yellow,Grade A,3495.0,Gondal,Lasalgaon,124.6,48.62,49.45,49.07,2025-05-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000089,FARMER-713,BUYER-64,Tomato,Local,Grade A,870.0,Ahmedabad,Nashik,93.7,32.03,33.07,32.91,2025-03-03,COMPLETED,COMPLETED,True,False,NORMAL
TX-000090,FARMER-612,BUYER-193,Cotton,BT Cotton,Grade A,3097.0,Pune,Rajkot,131.1,74.38,75.5,76.13,2025-02-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000091,FARMER-217,BUYER-153,Tomato,Hybrid,Grade A,2859.0,Indore,Lasalgaon,49.4,31.17,31.81,31.68,2025-02-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000092,FARMER-447,BUYER-106,Cotton,BT Cotton,Grade A,2716.0,Ujjain,Ujjain,72.7,79.17,81.68,82.71,2026-02-02,COMPLETED,COMPLETED,True,False,NORMAL
TX-000093,FARMER-249,BUYER-115,Wheat,Lokwan,Grade B,6274.0,Gondal,Ahmedabad,239.3,25.02,25.66,25.61,2025-11-18,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000094,FARMER-678,BUYER-214,Cotton,Long Staple,Grade A,2039.0,Indore,Indore,19.3,76.91,76.96,76.84,2025-05-21,COMPLETED,COMPLETED,True,False,NORMAL
TX-000095,FARMER-477,BUYER-123,Potato,Kufri,Grade C,5204.0,Agra,Agra,20.1,19.17,20.22,19.85,2025-08-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000096,FARMER-685,BUYER-216,Wheat,Sharbati,Grade B,4410.0,Rajkot,Indore,52.8,23.55,22.96,22.54,2025-06-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000097,FARMER-549,BUYER-184,Onion,White,Grade A,1701.0,Pune,Lasalgaon,179.4,31.28,31.88,31.36,2025-01-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000098,FARMER-390,BUYER-114,Onion,White,Grade A,3453.0,Lasalgaon,Nashik,59.7,31.77,31.09,30.57,2025-12-24,COMPLETED,COMPLETED,True,False,NORMAL
TX-000099,FARMER-758,BUYER-134,Onion,Garhwa,Grade B,4757.0,Ujjain,Gondal,172.1,29.97,28.87,29.39,2025-08-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000100,FARMER-884,BUYER-174,Wheat,Lokwan,Grade C,19160.0,Nashik,Gondal,141.7,21.12,19.01,19.01,2025-10-04,COMPLETED,COMPLETED,True,True,ABNORMAL_QUANTITY
TX-000101,FARMER-444,BUYER-246,Onion,Garhwa,Grade A,1146.0,Agra,Ahmedabad,188.7,32.75,33.44,33.37,2025-01-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000102,FARMER-866,BUYER-250,Soyabean,JS-335,Grade B,1669.0,Indore,Surat,110.9,43.33,43.59,43.38,2025-10-20,COMPLETED,COMPLETED,True,False,NORMAL
TX-000103,FARMER-265,BUYER-101,Onion,White,Grade A,2611.0,Lasalgaon,Ujjain,235.5,31.06,32.12,32.46,2025-12-31,COMPLETED,COMPLETED,True,False,NORMAL
TX-000104,FARMER-625,BUYER-87,Mustard,Black,Grade C,1011.0,Indore,Lasalgaon,234.7,50.07,50.23,51.22,2025-08-01,COMPLETED,COMPLETED,True,False,NORMAL
TX-000105,FARMER-128,BUYER-131,Potato,Kufri,Grade B,4853.0,Ahmedabad,Rajkot,212.9,21.48,20.88,20.84,2025-08-30,COMPLETED,COMPLETED,True,False,NORMAL
TX-000106,FARMER-181,BUYER-54,Rice,Basmati,Grade B,4067.0,Agra,Ujjain,123.1,36.92,36.59,36.47,2026-02-02,COMPLETED,COMPLETED,True,False,NORMAL
TX-000107,FARMER-568,BUYER-66,Potato,Lauvkar,Grade B,590.0,Ujjain,Agra,83.2,22.55,21.79,21.85,2025-03-15,COMPLETED,COMPLETED,True,False,NORMAL
TX-000108,FARMER-784,BUYER-71,Cotton,BT Cotton,Grade C,2404.0,Ujjain,Ujjain,34.5,66.83,67.04,67.7,2025-08-29,COMPLETED,COMPLETED,True,False,NORMAL
TX-000109,FARMER-169,BUYER-138,Wheat,Kalyan,Grade B,1546.0,Agra,Lasalgaon,59.4,24.86,25.86,26.15,2025-06-30,COMPLETED,COMPLETED,True,False,NORMAL
TX-000110,FARMER-812,BUYER-172,Onion,Red,Grade A,3970.0,Indore,Rajkot,94.6,31.27,32.67,32.42,2025-01-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000111,FARMER-934,BUYER-189,Soyabean,Yellow,Grade A,3052.0,Nashik,Lasalgaon,58.6,47.5,47.35,47.1,2025-01-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000112,FARMER-861,BUYER-162,Mustard,Yellow,Grade C,1888.0,Indore,Lasalgaon,233.3,48.85,47.19,47.06,2025-09-23,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000113,FARMER-284,BUYER-189,Rice,Sona Masoori,Grade A,2631.0,Nashik,Nashik,19.5,39.22,40.44,39.7,2026-01-03,COMPLETED,COMPLETED,True,False,NORMAL
TX-000114,FARMER-461,BUYER-207,Mustard,Yellow,Grade B,2833.0,Rajkot,Gondal,41.7,54.89,57.08,58.11,2025-07-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000115,FARMER-722,BUYER-223,Soyabean,JS-335,Grade A,1368.0,Lasalgaon,Lasalgaon,114.2,52.47,51.33,51.07,2025-10-18,COMPLETED,COMPLETED,True,False,NORMAL
TX-000116,FARMER-178,BUYER-196,Onion,Garhwa,Grade A,1846.0,Nashik,Surat,241.3,31.48,31.56,31.64,2025-01-14,COMPLETED,COMPLETED,True,False,NORMAL
TX-000117,FARMER-366,BUYER-230,Soyabean,JS-335,Grade C,1571.0,Indore,Surat,57.0,40.71,42.66,41.96,2025-02-07,COMPLETED,COMPLETED,True,False,NORMAL
TX-000118,FARMER-965,BUYER-131,Cotton,Long Staple,Grade A,2398.0,Nashik,Ahmedabad,186.6,76.48,78.91,77.71,2025-12-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000119,FARMER-242,BUYER-110,Soyabean,JS-335,Grade A,2746.0,Indore,Ujjain,51.3,52.27,52.44,52.4,2025-02-14,COMPLETED,COMPLETED,True,False,NORMAL
TX-000120,FARMER-519,BUYER-197,Potato,Jyoti,Grade C,4033.0,Indore,Indore,19.8,20.22,21.1,21.17,2025-06-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000121,FARMER-232,BUYER-160,Tomato,Local,Grade B,1121.0,Ahmedabad,Lasalgaon,235.6,28.52,29.73,30.14,2025-04-26,COMPLETED,COMPLETED,True,False,NORMAL
TX-000122,FARMER-750,BUYER-191,Rice,Basmati,Grade B,4494.0,Gondal,Ujjain,171.0,34.09,33.25,33.54,2025-10-31,COMPLETED,COMPLETED,True,False,NORMAL
TX-000123,FARMER-962,BUYER-194,Tomato,Local,Grade A,2861.0,Agra,Nashik,173.2,29.98,56.96,56.96,2026-01-28,DISPUTED,DISPUTED,True,True,EXTREME_HIGH_OFFER
TX-000124,FARMER-757,BUYER-127,Soyabean,JS-335,Grade B,3208.0,Nashik,Indore,46.1,47.89,48.13,47.82,2025-01-31,COMPLETED,COMPLETED,True,False,NORMAL
TX-000125,FARMER-982,BUYER-233,Cotton,Long Staple,Grade C,1709.0,Pune,Ahmedabad,197.3,62.89,62.19,61.61,2025-09-21,COMPLETED,COMPLETED,True,False,NORMAL
TX-000126,FARMER-199,BUYER-62,Rice,Sona Masoori,Grade C,3218.0,Ahmedabad,Lasalgaon,235.4,32.39,33.25,33.27,2026-01-05,COMPLETED,COMPLETED,True,False,NORMAL
TX-000127,FARMER-415,BUYER-177,Tomato,Local,Grade C,1665.0,Surat,Surat,158.3,25.97,26.14,26.3,2025-01-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000128,FARMER-649,BUYER-52,Potato,Lauvkar,Grade A,1955.0,Lasalgaon,Pune,110.5,25.04,25.41,25.2,2025-07-25,COMPLETED,COMPLETED,True,False,NORMAL
TX-000129,FARMER-561,BUYER-245,Rice,Common,Grade B,1272.0,Gondal,Pune,112.1,35.75,35.65,35.8,2025-06-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000130,FARMER-141,BUYER-61,Tomato,Local,Grade B,2471.0,Ujjain,Indore,51.5,29.21,30.7,30.57,2025-09-21,COMPLETED,COMPLETED,True,False,NORMAL
TX-000131,FARMER-962,BUYER-126,Cotton,Long Staple,Grade B,2363.0,Agra,Nashik,134.5,73.14,74.87,75.12,2025-01-09,COMPLETED,COMPLETED,True,False,NORMAL
TX-000132,FARMER-842,BUYER-226,Tomato,Desi,Grade B,2911.0,Agra,Agra,17.3,27.72,27.29,27.42,2025-01-27,COMPLETED,COMPLETED,True,False,NORMAL
TX-000133,FARMER-251,BUYER-224,Wheat,Lokwan,Grade B,5844.0,Surat,Rajkot,439.4,26.05,26.3,26.59,2025-08-03,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000134,FARMER-993,BUYER-238,Tomato,Desi,Grade A,860.0,Lasalgaon,Indore,145.6,28.58,28.69,28.74,2025-06-10,COMPLETED,COMPLETED,True,False,NORMAL
TX-000135,FARMER-988,BUYER-234,Rice,Common,Grade B,6723.0,Nashik,Ujjain,95.7,34.83,35.82,35.8,2025-06-02,COMPLETED,COMPLETED,True,False,NORMAL
TX-000136,FARMER-673,BUYER-234,Rice,Sona Masoori,Grade A,4898.0,Pune,Pune,25.2,37.46,37.27,37.59,2026-01-31,COMPLETED,COMPLETED,True,False,NORMAL
TX-000137,FARMER-552,BUYER-217,Rice,Common,Grade B,1813.0,Ujjain,Nashik,235.3,36.99,35.82,35.45,2025-12-23,COMPLETED,COMPLETED,True,False,NORMAL
TX-000138,FARMER-643,BUYER-107,Wheat,Lokwan,Grade A,3178.0,Indore,Gondal,179.9,28.6,28.9,28.79,2025-03-12,PENDING,IN_NEGOTIATION,True,False,NORMAL
TX-000139,FARMER-999,BUYER-171,Soyabean,NRC-37,Grade A,4352.0,Lasalgaon,Nashik,56.5,52.13,53.11,53.58,2026-01-29,PENDING,IN_NEGOTIATION,True,False,NORMAL
